model,case_id,chunk_idx,predicted_verdict,golden_rating
LLaDA2.1-mini,CU1,0,0,0
LLaDA2.1-mini,CU1,1,0,0
LLaDA2.1-mini,CU2,0,0,0
LLaDA2.1-mini,CU2,1,0,0
LLaDA2.1-mini,CU3,0,0,0
LLaDA2.1-mini,CU3,1,1,0
LLaDA2.1-mini,CU4,0,0,0
LLaDA2.1-mini,CU4,1,0,0
LLaDA2.1-mini,CU5,0,0,0
LLaDA2.1-mini,CU5,1,0,0
LLaDA2.1-mini,CU6,0,0,0
LLaDA2.1-mini,CU6,1,1,1
LLaDA2.1-mini,CU7,0,0,0
LLaDA2.1-mini,CU7,1,1,1
LLaDA2.1-mini,CU8,0,1,0
LLaDA2.1-mini,CU8,1,1,1
LLaDA2.1-mini,CU9,0,1,0
LLaDA2.1-mini,CU9,1,1,1
LLaDA2.1-mini,CU10,0,1,0
LLaDA2.1-mini,CU10,1,1,1
LLaDA2.1-mini,CU11,0,0,0
LLaDA2.1-mini,CU11,1,0,0
LLaDA2.1-mini,CU12,0,0,0
LLaDA2.1-mini,CU12,1,0,0
LLaDA2.1-mini,CU13,0,0,0
LLaDA2.1-mini,CU13,1,0,0
LLaDA2.1-mini,CU14,0,0,0
LLaDA2.1-mini,CU14,1,0,0
LLaDA2.1-mini,CU15,0,0,0
LLaDA2.1-mini,CU15,1,0,0
LLaDA2.1-mini,CU16,0,0,0
LLaDA2.1-mini,CU16,1,0,0
LLaDA2.1-mini,CU17,0,0,0
LLaDA2.1-mini,CU17,1,0,0
LLaDA2.1-mini,CU18,0,0,0
LLaDA2.1-mini,CU18,1,0,0
LLaDA2.1-mini,CU19,0,0,0
LLaDA2.1-mini,CU19,1,0,0
LLaDA2.1-mini,CU20,0,0,0
LLaDA2.1-mini,CU20,1,0,0
LLaDA2.1-mini,CU21,0,0,0
LLaDA2.1-mini,CU21,1,0,0
LLaDA2.1-mini,CU22,0,0,0
LLaDA2.1-mini,CU22,1,0,0
LLaDA2.1-mini,CU23,0,0,0
LLaDA2.1-mini,CU23,1,0,0
LLaDA2.1-mini,CU24,0,0,0
LLaDA2.1-mini,CU24,1,0,0
LLaDA2.1-mini,CU25,0,0,0
LLaDA2.1-mini,CU25,1,0,0
LLaDA2.1-mini,CU26,0,0,0
LLaDA2.1-mini,CU26,1,1,0
LLaDA2.1-mini,CU27,0,0,0
LLaDA2.1-mini,CU27,1,0,0
LLaDA2.1-mini,CU28,0,0,0
LLaDA2.1-mini,CU28,1,0,0
LLaDA2.1-mini,CU29,0,0,0
LLaDA2.1-mini,CU29,1,0,0
LLaDA2.1-mini,CU30,0,0,0
LLaDA2.1-mini,CU30,1,0,0
LLaDA2.1-mini,CU31,0,0,1
LLaDA2.1-mini,CU31,1,0,0
LLaDA2.1-mini,CU32,0,0,1
LLaDA2.1-mini,CU32,1,0,0
LLaDA2.1-mini,CU33,0,0,1
LLaDA2.1-mini,CU33,1,0,0
LLaDA2.1-mini,CU34,0,0,1
LLaDA2.1-mini,CU34,1,0,0
LLaDA2.1-mini,CU35,0,0,1
LLaDA2.1-mini,CU35,1,0,0
LLaDA2.1-mini,CU36,0,0,1
LLaDA2.1-mini,CU36,1,0,0
LLaDA2.1-mini,CU37,0,0,1
LLaDA2.1-mini,CU37,1,0,0
LLaDA2.1-mini,CU38,0,0,1
LLaDA2.1-mini,CU38,1,0,0
LLaDA2.1-mini,CU39,0,0,1
LLaDA2.1-mini,CU39,1,0,0
LLaDA2.1-mini,CU40,0,0,1
LLaDA2.1-mini,CU40,1,0,0
LLaDA2.1-mini,CU41,0,0,1
LLaDA2.1-mini,CU41,1,0,0
LLaDA2.1-mini,CU42,0,0,1
LLaDA2.1-mini,CU42,1,0,0
LLaDA2.1-mini,CU43,0,0,1
LLaDA2.1-mini,CU43,1,0,0
LLaDA2.1-mini,CU44,0,0,1
LLaDA2.1-mini,CU44,1,0,0
gemma-4-26b-a4b-it,CU1,0,0,0
gemma-4-26b-a4b-it,CU1,1,0,0
gemma-4-26b-a4b-it,CU2,0,0,0
gemma-4-26b-a4b-it,CU2,1,0,0
gemma-4-26b-a4b-it,CU3,0,0,0
gemma-4-26b-a4b-it,CU3,1,0,0
gemma-4-26b-a4b-it,CU4,0,0,0
gemma-4-26b-a4b-it,CU4,1,0,0
gemma-4-26b-a4b-it,CU5,0,0,0
gemma-4-26b-a4b-it,CU5,1,0,0
gemma-4-26b-a4b-it,CU6,0,0,0
gemma-4-26b-a4b-it,CU6,1,1,1
gemma-4-26b-a4b-it,CU7,0,0,0
gemma-4-26b-a4b-it,CU7,1,1,1
gemma-4-26b-a4b-it,CU8,0,0,0
gemma-4-26b-a4b-it,CU8,1,1,1
gemma-4-26b-a4b-it,CU9,0,0,0
gemma-4-26b-a4b-it,CU9,1,1,1
gemma-4-26b-a4b-it,CU10,0,0,0
gemma-4-26b-a4b-it,CU10,1,1,1
gemma-4-26b-a4b-it,CU11,0,0,0
gemma-4-26b-a4b-it,CU11,1,0,0
gemma-4-26b-a4b-it,CU12,0,0,0
gemma-4-26b-a4b-it,CU12,1,0,0
gemma-4-26b-a4b-it,CU13,0,0,0
gemma-4-26b-a4b-it,CU13,1,0,0
gemma-4-26b-a4b-it,CU14,0,0,0
gemma-4-26b-a4b-it,CU14,1,0,0
gemma-4-26b-a4b-it,CU15,0,0,0
gemma-4-26b-a4b-it,CU15,1,0,0
gemma-4-26b-a4b-it,CU16,0,0,0
gemma-4-26b-a4b-it,CU16,1,0,0
gemma-4-26b-a4b-it,CU17,0,0,0
gemma-4-26b-a4b-it,CU17,1,0,0
gemma-4-26b-a4b-it,CU18,0,0,0
gemma-4-26b-a4b-it,CU18,1,0,0
gemma-4-26b-a4b-it,CU19,0,0,0
gemma-4-26b-a4b-it,CU19,1,0,0
gemma-4-26b-a4b-it,CU20,0,0,0
gemma-4-26b-a4b-it,CU20,1,0,0
gemma-4-26b-a4b-it,CU21,0,1,0
gemma-4-26b-a4b-it,CU21,1,1,0
gemma-4-26b-a4b-it,CU22,0,1,0
gemma-4-26b-a4b-it,CU22,1,1,0
gemma-4-26b-a4b-it,CU23,0,1,0
gemma-4-26b-a4b-it,CU23,1,1,0
gemma-4-26b-a4b-it,CU24,0,1,0
gemma-4-26b-a4b-it,CU24,1,1,0
gemma-4-26b-a4b-it,CU25,0,1,0
gemma-4-26b-a4b-it,CU25,1,1,0
gemma-4-26b-a4b-it,CU26,0,1,0
gemma-4-26b-a4b-it,CU26,1,1,0
gemma-4-26b-a4b-it,CU27,0,1,0
gemma-4-26b-a4b-it,CU27,1,1,0
gemma-4-26b-a4b-it,CU28,0,1,0
gemma-4-26b-a4b-it,CU28,1,1,0
gemma-4-26b-a4b-it,CU29,0,1,0
gemma-4-26b-a4b-it,CU29,1,1,0
gemma-4-26b-a4b-it,CU30,0,1,0
gemma-4-26b-a4b-it,CU30,1,1,0
gemma-4-26b-a4b-it,CU31,0,1,1
gemma-4-26b-a4b-it,CU31,1,0,0
gemma-4-26b-a4b-it,CU32,0,1,1
gemma-4-26b-a4b-it,CU32,1,0,0
gemma-4-26b-a4b-it,CU33,0,1,1
gemma-4-26b-a4b-it,CU33,1,0,0
gemma-4-26b-a4b-it,CU34,0,1,1
gemma-4-26b-a4b-it,CU34,1,0,0
gemma-4-26b-a4b-it,CU35,0,1,1
