model,case_id,judge1,judge2,golden_rating
LLaDA2.1-mini,RG1,0,0,0
LLaDA2.1-mini,RG2,0,0,0
LLaDA2.1-mini,RG3,0,1,0
LLaDA2.1-mini,RG4,0,0,0
LLaDA2.1-mini,RG5,2,2,0
LLaDA2.1-mini,RG6,2,2,0
LLaDA2.1-mini,RG7,2,2,2
LLaDA2.1-mini,RG8,2,2,2
LLaDA2.1-mini,RG9,2,2,2
LLaDA2.1-mini,RG10,0,0,0
LLaDA2.1-mini,RG11,0,0,0
LLaDA2.1-mini,RG12,0,0,0
LLaDA2.1-mini,RG13,0,0,2
LLaDA2.1-mini,RG14,2,2,2
LLaDA2.1-mini,RG15,0,0,2
LLaDA2.1-mini,RG16,2,2,1
LLaDA2.1-mini,RG17,2,1,1
LLaDA2.1-mini,RG18,2,2,1
LLaDA2.1-mini,RG19,2,2,1
LLaDA2.1-mini,RG20,2,2,1
LLaDA2.1-mini,RG21,2,2,1
LLaDA2.1-mini,RG22,2,2,2
LLaDA2.1-mini,RG23,2,2,2
LLaDA2.1-mini,RG24,2,2,2
LLaDA2.1-mini,RG25,2,2,1
LLaDA2.1-mini,RG26,2,2,1
LLaDA2.1-mini,RG27,2,2,1
LLaDA2.1-mini,RG28,2,2,1
LLaDA2.1-mini,RG29,2,2,1
LLaDA2.1-mini,RG30,0,2,1
LLaDA2.1-mini,RG31,0,2,1
LLaDA2.1-mini,RG32,2,2,1
LLaDA2.1-mini,RG33,2,2,1
LLaDA2.1-mini,RG34,2,2,1
LLaDA2.1-mini,RG35,2,2,1
LLaDA2.1-mini,RG36,0,0,1
LLaDA2.1-mini,RG37,1,2,1
LLaDA2.1-mini,RG38,2,2,1
LLaDA2.1-mini,RG39,0,2,0
LLaDA2.1-mini,RG40,0,0,0
LLaDA2.1-mini,RG41,0,0,0
LLaDA2.1-mini,RG42,0,0,0
LLaDA2.1-mini,RG43,0,0,0
LLaDA2.1-mini,RG44,2,0,0
LLaDA2.1-mini,RG45,0,0,2
LLaDA2.1-mini,RG46,2,2,2
LLaDA2.1-mini,RG47,2,0,2
Qwen3.6-35B-A3B-FP8,RG1,0,0,0
Qwen3.6-35B-A3B-FP8,RG2,0,0,0
Qwen3.6-35B-A3B-FP8,RG3,0,0,0
Qwen3.6-35B-A3B-FP8,RG4,0,0,0
Qwen3.6-35B-A3B-FP8,RG5,0,0,0
Qwen3.6-35B-A3B-FP8,RG6,0,0,0
Qwen3.6-35B-A3B-FP8,RG7,2,2,2
Qwen3.6-35B-A3B-FP8,RG8,2,2,2
Qwen3.6-35B-A3B-FP8,RG9,2,2,2
Qwen3.6-35B-A3B-FP8,RG10,2,2,0
Qwen3.6-35B-A3B-FP8,RG11,0,2,0
Qwen3.6-35B-A3B-FP8,RG12,0,0,0
Qwen3.6-35B-A3B-FP8,RG13,2,0,2
Qwen3.6-35B-A3B-FP8,RG14,1,0,2
Qwen3.6-35B-A3B-FP8,RG15,0,0,2
Qwen3.6-35B-A3B-FP8,RG16,1,1,1
Qwen3.6-35B-A3B-FP8,RG17,1,1,1
Qwen3.6-35B-A3B-FP8,RG18,1,1,1
Qwen3.6-35B-A3B-FP8,RG19,0,0,1
Qwen3.6-35B-A3B-FP8,RG20,1,1,1
Qwen3.6-35B-A3B-FP8,RG21,1,1,1
Qwen3.6-35B-A3B-FP8,RG22,2,2,2
Qwen3.6-35B-A3B-FP8,RG23,2,2,2
Qwen3.6-35B-A3B-FP8,RG24,2,2,2
Qwen3.6-35B-A3B-FP8,RG25,1,0,1
Qwen3.6-35B-A3B-FP8,RG26,1,1,1
Qwen3.6-35B-A3B-FP8,RG27,0,0,1
Qwen3.6-35B-A3B-FP8,RG28,1,2,1
Qwen3.6-35B-A3B-FP8,RG29,0,1,1
Qwen3.6-35B-A3B-FP8,RG30,1,1,1
Qwen3.6-35B-A3B-FP8,RG31,1,1,1
Qwen3.6-35B-A3B-FP8,RG32,1,1,1
Qwen3.6-35B-A3B-FP8,RG33,1,0,1
Qwen3.6-35B-A3B-FP8,RG34,0,0,1
Qwen3.6-35B-A3B-FP8,RG35,1,1,1
Qwen3.6-35B-A3B-FP8,RG36,2,2,1
Qwen3.6-35B-A3B-FP8,RG37,2,2,1
Qwen3.6-35B-A3B-FP8,RG38,2,2,1
Qwen3.6-35B-A3B-FP8,RG39,0,0,0
Qwen3.6-35B-A3B-FP8,RG40,0,0,0
Qwen3.6-35B-A3B-FP8,RG41,0,0,0
Qwen3.6-35B-A3B-FP8,RG42,0,0,0
Qwen3.6-35B-A3B-FP8,RG43,0,0,0
Qwen3.6-35B-A3B-FP8,RG44,0,0,0
Qwen3.6-35B-A3B-FP8,RG45,0,0,2
Qwen3.6-35B-A3B-FP8,RG46,0,0,2
Qwen3.6-35B-A3B-FP8,RG47,0,0,2
gemma-4-26b-a4b-it,RG1,0,0,0
gemma-4-26b-a4b-it,RG2,0,0,0
gemma-4-26b-a4b-it,RG3,0,0,0
gemma-4-26b-a4b-it,RG4,0,0,0
gemma-4-26b-a4b-it,RG5,0,0,0
gemma-4-26b-a4b-it,RG6,0,0,0
gemma-4-26b-a4b-it,RG7,2,2,2
gemma-4-26b-a4b-it,RG8,2,2,2
gemma-4-26b-a4b-it,RG9,2,2,2
gemma-4-26b-a4b-it,RG10,2,2,0
gemma-4-26b-a4b-it,RG11,2,2,0
gemma-4-26b-a4b-it,RG12,0,0,0
gemma-4-26b-a4b-it,RG13,2,2,2
gemma-4-26b-a4b-it,RG14,2,2,2
gemma-4-26b-a4b-it,RG15,2,2,2
gemma-4-26b-a4b-it,RG16,1,1,1
gemma-4-26b-a4b-it,RG17,1,1,1
gemma-4-26b-a4b-it,RG18,1,1,1
gemma-4-26b-a4b-it,RG19,1,1,1
gemma-4-26b-a4b-it,RG20,1,1,1
gemma-4-26b-a4b-it,RG21,1,1,1
gemma-4-26b-a4b-it,RG22,2,2,2
gemma-4-26b-a4b-it,RG23,2,2,2
gemma-4-26b-a4b-it,RG24,2,2,2
gemma-4-26b-a4b-it,RG25,0,1,1
gemma-4-26b-a4b-it,RG26,1,1,1
gemma-4-26b-a4b-it,RG27,1,1,1
gemma-4-26b-a4b-it,RG28,1,1,1
gemma-4-26b-a4b-it,RG29,1,1,1
gemma-4-26b-a4b-it,RG30,1,1,1
gemma-4-26b-a4b-it,RG31,1,1,1
gemma-4-26b-a4b-it,RG32,1,1,1
gemma-4-26b-a4b-it,RG33,0,0,1
gemma-4-26b-a4b-it,RG34,0,1,1
gemma-4-26b-a4b-it,RG35,1,1,1
gemma-4-26b-a4b-it,RG36,2,2,1
gemma-4-26b-a4b-it,RG37,2,2,1
gemma-4-26b-a4b-it,RG38,2,2,1
gemma-4-26b-a4b-it,RG39,0,0,0
gemma-4-26b-a4b-it,RG40,0,0,0
gemma-4-26b-a4b-it,RG41,0,0,0
gemma-4-26b-a4b-it,RG42,0,0,0
gemma-4-26b-a4b-it,RG43,0,0,0
gemma-4-26b-a4b-it,RG44,0,0,0
gemma-4-26b-a4b-it,RG45,2,2,2
gemma-4-26b-a4b-it,RG46,1,2,2
gemma-4-26b-a4b-it,RG47,0,0,2
gemma-4-31b-it,RG1,0,0,0
gemma-4-31b-it,RG2,0,0,0
gemma-4-31b-it,RG3,0,0,0
gemma-4-31b-it,RG4,0,0,0
gemma-4-31b-it,RG5,0,0,0
gemma-4-31b-it,RG6,0,0,0
gemma-4-31b-it,RG7,2,2,2
gemma-4-31b-it,RG8,2,2,2
gemma-4-31b-it,RG9,2,2,2
gemma-4-31b-it,RG10,2,2,0
gemma-4-31b-it,RG11,2,2,0
gemma-4-31b-it,RG12,2,2,0
gemma-4-31b-it,RG13,2,2,2
gemma-4-31b-it,RG14,2,2,2
gemma-4-31b-it,RG15,2,2,2
gemma-4-31b-it,RG16,1,1,1
gemma-4-31b-it,RG17,1,1,1
gemma-4-31b-it,RG18,1,1,1
gemma-4-31b-it,RG19,1,1,1
gemma-4-31b-it,RG20,1,1,1
gemma-4-31b-it,RG21,1,1,1
gemma-4-31b-it,RG22,2,2,2
gemma-4-31b-it,RG23,2,2,2
gemma-4-31b-it,RG24,2,2,2
gemma-4-31b-it,RG25,0,1,1
gemma-4-31b-it,RG26,1,1,1
gemma-4-31b-it,RG27,1,1,1
gemma-4-31b-it,RG28,1,1,1
gemma-4-31b-it,RG29,1,1,1
gemma-4-31b-it,RG30,1,1,1
gemma-4-31b-it,RG31,1,1,1
gemma-4-31b-it,RG32,1,1,1
gemma-4-31b-it,RG33,0,1,1
gemma-4-31b-it,RG34,0,0,1
gemma-4-31b-it,RG35,1,1,1
gemma-4-31b-it,RG36,2,2,1
gemma-4-31b-it,RG37,2,2,1
gemma-4-31b-it,RG38,2,2,1
