model,case_id,statement_idx,predicted_verdict,golden_verdict
LLaDA2.1-mini,F1,0,1,1
LLaDA2.1-mini,F1,1,1,1
LLaDA2.1-mini,F2,0,1,1
LLaDA2.1-mini,F2,1,1,1
LLaDA2.1-mini,F2,2,1,1
LLaDA2.1-mini,F3,0,1,1
LLaDA2.1-mini,F3,1,1,1
LLaDA2.1-mini,F4,0,1,1
LLaDA2.1-mini,F4,1,1,1
LLaDA2.1-mini,F5,0,1,1
LLaDA2.1-mini,F5,1,1,1
LLaDA2.1-mini,F6,0,1,1
LLaDA2.1-mini,F6,1,0,0
LLaDA2.1-mini,F7,0,1,1
LLaDA2.1-mini,F7,1,1,1
LLaDA2.1-mini,F7,2,0,0
LLaDA2.1-mini,F8,0,1,1
LLaDA2.1-mini,F8,1,0,0
LLaDA2.1-mini,F9,0,1,1
LLaDA2.1-mini,F9,1,1,1
LLaDA2.1-mini,F9,2,0,0
LLaDA2.1-mini,F10,0,1,1
LLaDA2.1-mini,F10,1,0,0
LLaDA2.1-mini,F11,0,0,0
LLaDA2.1-mini,F11,1,0,0
LLaDA2.1-mini,F12,0,0,0
LLaDA2.1-mini,F12,1,0,0
LLaDA2.1-mini,F13,0,0,0
LLaDA2.1-mini,F13,1,0,0
LLaDA2.1-mini,F14,0,0,0
LLaDA2.1-mini,F14,1,0,0
LLaDA2.1-mini,F14,2,0,0
LLaDA2.1-mini,F15,0,0,0
LLaDA2.1-mini,F15,1,0,0
LLaDA2.1-mini,F16,0,1,1
LLaDA2.1-mini,F16,1,1,1
LLaDA2.1-mini,F16,2,1,1
LLaDA2.1-mini,F16,3,1,1
LLaDA2.1-mini,F16,4,1,1
LLaDA2.1-mini,F16,5,1,1
LLaDA2.1-mini,F16,6,1,1
LLaDA2.1-mini,F16,7,1,1
LLaDA2.1-mini,F18,0,1,1
LLaDA2.1-mini,F18,1,1,1
LLaDA2.1-mini,F18,2,1,1
LLaDA2.1-mini,F18,3,1,1
LLaDA2.1-mini,F18,4,1,1
LLaDA2.1-mini,F18,5,1,1
LLaDA2.1-mini,F18,6,1,1
LLaDA2.1-mini,F18,7,1,1
LLaDA2.1-mini,F18,8,1,1
LLaDA2.1-mini,F18,9,1,1
LLaDA2.1-mini,F18,10,1,1
LLaDA2.1-mini,F18,11,1,1
LLaDA2.1-mini,F20,0,1,1
LLaDA2.1-mini,F20,1,1,1
LLaDA2.1-mini,F20,2,1,1
LLaDA2.1-mini,F20,3,1,1
