model,case_id,judge1,judge2,golden_rating
LLaDA2.1-mini,CR1,2,2,2
LLaDA2.1-mini,CR2,2,2,2
LLaDA2.1-mini,CR3,2,2,2
LLaDA2.1-mini,CR4,0,0,0
LLaDA2.1-mini,CR5,0,0,0
LLaDA2.1-mini,CR6,0,0,0
LLaDA2.1-mini,CR7,2,1,1
LLaDA2.1-mini,CR8,1,0,1
LLaDA2.1-mini,CR9,1,1,1
LLaDA2.1-mini,CR10,2,0,2
LLaDA2.1-mini,CR11,2,2,2
LLaDA2.1-mini,CR12,2,2,2
LLaDA2.1-mini,CR13,0,0,0
LLaDA2.1-mini,CR14,0,0,0
LLaDA2.1-mini,CR15,0,0,0
LLaDA2.1-mini,CR16,2,0,1
LLaDA2.1-mini,CR17,2,2,1
LLaDA2.1-mini,CR18,0,2,1
LLaDA2.1-mini,CR19,0,0,2
LLaDA2.1-mini,CR20,0,1,2
LLaDA2.1-mini,CR21,2,2,2
LLaDA2.1-mini,CR22,0,0,1
LLaDA2.1-mini,CR23,2,0,1
LLaDA2.1-mini,CR24,2,0,1
LLaDA2.1-mini,CR25,2,2,2
LLaDA2.1-mini,CR26,2,2,2
LLaDA2.1-mini,CR27,2,2,2
LLaDA2.1-mini,CR28,2,2,2
LLaDA2.1-mini,CR29,2,2,2
LLaDA2.1-mini,CR30,2,2,2
LLaDA2.1-mini,CR31,1,2,1
LLaDA2.1-mini,CR32,1,1,1
LLaDA2.1-mini,CR33,2,1,1
LLaDA2.1-mini,CR34,2,2,2
LLaDA2.1-mini,CR35,2,2,2
LLaDA2.1-mini,CR36,2,0,2
LLaDA2.1-mini,CR37,2,2,2
LLaDA2.1-mini,CR38,0,1,2
LLaDA2.1-mini,CR39,2,2,2
LLaDA2.1-mini,CR_R1,0,0,0
LLaDA2.1-mini,CR_R2,0,0,0
LLaDA2.1-mini,CR_R3,0,0,0
Qwen3.6-35B-A3B-FP8-Thinking,CR1,2,2,2
Qwen3.6-35B-A3B-FP8-Thinking,CR2,2,2,2
Qwen3.6-35B-A3B-FP8-Thinking,CR3,2,2,2
Qwen3.6-35B-A3B-FP8-Thinking,CR4,0,0,0
Qwen3.6-35B-A3B-FP8-Thinking,CR5,0,0,0
Qwen3.6-35B-A3B-FP8-Thinking,CR6,0,0,0
Qwen3.6-35B-A3B-FP8-Thinking,CR7,0,0,1
Qwen3.6-35B-A3B-FP8-Thinking,CR8,0,0,1
Qwen3.6-35B-A3B-FP8-Thinking,CR9,1,1,1
Qwen3.6-35B-A3B-FP8-Thinking,CR10,2,2,2
Qwen3.6-35B-A3B-FP8-Thinking,CR11,2,2,2
Qwen3.6-35B-A3B-FP8-Thinking,CR12,2,2,2
Qwen3.6-35B-A3B-FP8-Thinking,CR13,0,0,0
Qwen3.6-35B-A3B-FP8-Thinking,CR14,0,0,0
Qwen3.6-35B-A3B-FP8-Thinking,CR15,0,0,0
Qwen3.6-35B-A3B-FP8-Thinking,CR16,0,0,1
Qwen3.6-35B-A3B-FP8-Thinking,CR17,1,1,1
Qwen3.6-35B-A3B-FP8-Thinking,CR18,1,0,1
Qwen3.6-35B-A3B-FP8-Thinking,CR19,2,2,2
Qwen3.6-35B-A3B-FP8-Thinking,CR20,1,2,2
Qwen3.6-35B-A3B-FP8-Thinking,CR21,2,2,2
Qwen3.6-35B-A3B-FP8-Thinking,CR22,1,1,1
Qwen3.6-35B-A3B-FP8-Thinking,CR23,1,1,1
